Accession,Organism_Name,Species,Isolate,Segment,Length,Nuc_Completeness,Country,Host,Collection_Date
PP746375,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P86,M,3797,partial,Rwanda,Bos taurus,2022-06-28
PP746376,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P90,M,3531,partial,Rwanda,Bos taurus,2022-07-09
PP746377,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P91,M,3513,partial,Rwanda,Bos taurus,2022-07-09
PP746378,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P99,M,3513,partial,Rwanda,Bos taurus,2022-07-29
PP746379,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P1,S,1658,partial,Rwanda,Bos taurus,2022-01-06
PP746380,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P100,S,1636,partial,Rwanda,Bos taurus,2022-07-31
PP746381,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P102,S,1636,partial,Rwanda,Bos taurus,2022-05-08
PP746382,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P103,S,1658,partial,Rwanda,Bos taurus,2022-08-08
PP746383,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P104,S,1658,partial,Rwanda,Bos taurus,2022-08-08
PP746384,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P11,S,1665,partial,Rwanda,Bos taurus,2022-09-06
PP746385,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P110,S,1636,partial,Rwanda,Bos taurus,2022-12-09
PP746386,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P116,S,1658,partial,Rwanda,Bos taurus,2022-01-07
PP746387,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P13,S,1629,partial,Rwanda,Bos taurus,2022-08-06
PP746388,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P2,S,1658,partial,Rwanda,Bos taurus,2022-07-06
PP746389,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P23,S,1658,partial,Rwanda,Bos taurus,2022-06-13
PP746390,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P26,S,1636,partial,Rwanda,Bos taurus,2022-11-06
PP746391,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P302,S,1658,partial,Rwanda,Bos taurus,2022-04-06
PP746392,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P31,S,1635,partial,Rwanda,Bos taurus,2022-06-17
PP746393,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P319,S,1636,partial,Rwanda,Bos taurus,2022-08-25
PP746394,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P33,S,1658,partial,Rwanda,Bos taurus,2022-06-25
PP746395,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P35,S,1677,partial,Rwanda,Bos taurus,2022-06-17
PP746396,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P36,S,1658,partial,Rwanda,Bos taurus,2022-06-25
PP746397,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P4,S,1658,partial,Rwanda,Bos taurus,2022-07-06
PP746398,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P40,S,1658,partial,Rwanda,Bos taurus,2022-03-07
PP746399,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P45,S,1658,partial,Rwanda,Bos taurus,2022-06-17
PP746400,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P47,S,1658,partial,Rwanda,Bos taurus,2022-09-06
PP746401,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P5,S,1658,partial,Rwanda,Bos taurus,2022-03-06
PP746402,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P55,S,1658,partial,Rwanda,Bos taurus,2022-12-06
PP746403,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P61,S,1658,partial,Rwanda,Bos taurus,2022-06-22
PP746404,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P66,S,1658,partial,Rwanda,Bos taurus,2022-06-22
PP746405,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P69,S,1658,partial,Rwanda,Bos taurus,2022-06-13
PP746406,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P7,S,1658,partial,Rwanda,Bos taurus,2022-09-06
PP746407,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P71,S,1658,partial,Rwanda,Bos taurus,2022-06-14
PP746408,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P73,S,1658,partial,Rwanda,Ovis aries,2022-03-07
PP746409,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P76,S,1636,partial,Rwanda,Bos taurus,2022-06-27
PP746410,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P80,S,1657,partial,Rwanda,Bos taurus,2022-06-28
PP746411,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P86,S,1636,partial,Rwanda,Bos taurus,2022-06-28
PP746412,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P90,S,1658,partial,Rwanda,Bos taurus,2022-09-07
PP746413,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P91,S,1658,partial,Rwanda,Bos taurus,2022-09-07
PP746414,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P99,S,1658,partial,Rwanda,Bos taurus,2022-07-29
PP826244,Rift Valley fever virus,Phlebovirus riftense,Rwanda2022P326,M,3513,partial,Rwanda,Bos taurus,2022-09-28
OR844387,Rift Valley fever virus,Phlebovirus riftense,2687/3,S,1689,complete,Mauritania,,
OR844388,Rift Valley fever virus,Phlebovirus riftense,2687/3,M,3885,complete,Mauritania,,
OR844389,Rift Valley fever virus,Phlebovirus riftense,2687/3,L,6404,complete,Mauritania,,
OR844390,Rift Valley fever virus,Phlebovirus riftense,25010-30,S,1691,complete,Mauritania,,
OR844391,Rift Valley fever virus,Phlebovirus riftense,25010-30,M,3885,complete,Mauritania,,
OR844392,Rift Valley fever virus,Phlebovirus riftense,25010-30,L,6404,complete,Mauritania,,
OR805805,Rift Valley fever virus,Phlebovirus riftense,ZH548,L,6404,partial,Egypt,Homo sapiens,1977
OR805806,Rift Valley fever virus,Phlebovirus riftense,ZH548,M,3885,partial,Egypt,Homo sapiens,1977
OR805807,Rift Valley fever virus,Phlebovirus riftense,ZH548,S,1690,partial,Egypt,Homo sapiens,1977
PP746415,Rift Valley fever virus,Phlebovirus riftense,250618,L,6385,partial,Kenya,Homo sapiens,2018-06-06
PP746416,Rift Valley fever virus,Phlebovirus riftense,500618,L,6384,partial,Kenya,Homo sapiens,2018-06-12
PP746417,Rift Valley fever virus,Phlebovirus riftense,K2,L,6386,partial,Kenya,Homo sapiens,2007-01-01
PP746418,Rift Valley fever virus,Phlebovirus riftense,250618,M,3875,partial,Kenya,Homo sapiens,2018-06-06
PP746419,Rift Valley fever virus,Phlebovirus riftense,500618,M,3863,partial,Kenya,Homo sapiens,2018-06-12
PP746420,Rift Valley fever virus,Phlebovirus riftense,K2,M,3874,partial,Kenya,Homo sapiens,2007-01-01
PP746421,Rift Valley fever virus,Phlebovirus riftense,250618,S,1670,partial,Kenya,Homo sapiens,2018-06-06
PP746422,Rift Valley fever virus,Phlebovirus riftense,500618,S,1663,partial,Kenya,Homo sapiens,2018-06-12
PP746423,Rift Valley fever virus,Phlebovirus riftense,K2,S,1673,partial,Kenya,Homo sapiens,2007-01-01
PP746424,Rift Valley fever virus,Phlebovirus riftense,CML3,L,6331,partial,Kenya,Bos taurus,2018-06-27
PP746425,Rift Valley fever virus,Phlebovirus riftense,J10,L,6232,partial,Kenya,Homo sapiens,2007-01-01
PP746426,Rift Valley fever virus,Phlebovirus riftense,J8,L,6251,partial,Kenya,Homo sapiens,2007-01-01
PP746427,Rift Valley fever virus,Phlebovirus riftense,J9,L,6277,partial,Kenya,Homo sapiens,2007-01-11
PP746428,Rift Valley fever virus,Phlebovirus riftense,CML3,M,3840,partial,Kenya,Bos taurus,2018-06-27
PP746429,Rift Valley fever virus,Phlebovirus riftense,J10,M,3840,partial,Kenya,Homo sapiens,2007-01-01
PP746430,Rift Valley fever virus,Phlebovirus riftense,J8,M,3840,partial,Kenya,Homo sapiens,2007-01-01
PP746431,Rift Valley fever virus,Phlebovirus riftense,J9,M,3840,partial,Kenya,Homo sapiens,2007-01-11
PP746432,Rift Valley fever virus,Phlebovirus riftense,CML3,S,1662,partial,Kenya,Bos taurus,2018-06-27
PP746433,Rift Valley fever virus,Phlebovirus riftense,J10,S,1658,partial,Kenya,Homo sapiens,2007-01-01
PP746434,Rift Valley fever virus,Phlebovirus riftense,J8,S,1658,partial,Kenya,Homo sapiens,2007-01-01
PP746435,Rift Valley fever virus,Phlebovirus riftense,J9,S,1667,partial,Kenya,Homo sapiens,2007-01-11
PP746436,Rift Valley fever virus,Phlebovirus riftense,KEM-BR,L,6232,partial,Kenya,Homo sapiens,2007-01-03
PP746437,Rift Valley fever virus,Phlebovirus riftense,KEM-JC,L,6268,partial,Kenya,Homo sapiens,2007-01-01
PP746438,Rift Valley fever virus,Phlebovirus riftense,KEM-ND,L,6232,partial,Kenya,Homo sapiens,2007-01-01
PP746439,Rift Valley fever virus,Phlebovirus riftense,KEM-BR,M,3840,partial,Kenya,Homo sapiens,2007-01-03
PP746440,Rift Valley fever virus,Phlebovirus riftense,KEM-JC,M,3840,partial,Kenya,Homo sapiens,2007-01-01
PP746441,Rift Valley fever virus,Phlebovirus riftense,KEM-ND,M,3840,partial,Kenya,Homo sapiens,2007-01-01
PP746442,Rift Valley fever virus,Phlebovirus riftense,KEM-BR,S,1636,partial,Kenya,Homo sapiens,2007-01-03
PP746443,Rift Valley fever virus,Phlebovirus riftense,KEM-JC,S,1663,partial,Kenya,Homo sapiens,2007-01-01
PP746444,Rift Valley fever virus,Phlebovirus riftense,KEM-ND,S,1662,partial,Kenya,Homo sapiens,2007-01-01
PP746445,Rift Valley fever virus,Phlebovirus riftense,A-MO,L,6391,partial,Kenya,Homo sapiens,2020-11-01
PP746446,Rift Valley fever virus,Phlebovirus riftense,E358,L,6399,partial,Kenya,Homo sapiens,1998-02-10
PP746447,Rift Valley fever virus,Phlebovirus riftense,HA-HAR,L,6373,partial,Kenya,Homo sapiens,2007-01-01
PP746448,Rift Valley fever virus,Phlebovirus riftense,MO-LE,L,6387,partial,Kenya,Homo sapiens,2007-01-01
PP746449,Rift Valley fever virus,Phlebovirus riftense,MSA,L,6388,partial,Kenya,Homo sapiens,2007-01-01
PP746450,Rift Valley fever virus,Phlebovirus riftense,N12,L,6391,partial,Kenya,Homo sapiens,2019-02-01
PP746451,Rift Valley fever virus,Phlebovirus riftense,NA-KOL,L,6401,partial,Kenya,Homo sapiens,2007-01-03
PP746452,Rift Valley fever virus,Phlebovirus riftense,SWA-ISI,L,6396,partial,Kenya,Homo sapiens,2020-11-01
PP746453,Rift Valley fever virus,Phlebovirus riftense,A-MO,M,3875,partial,Kenya,Homo sapiens,2020-11-01
PP746454,Rift Valley fever virus,Phlebovirus riftense,E358,M,3879,partial,Kenya,Homo sapiens,1998-02-10
PP746455,Rift Valley fever virus,Phlebovirus riftense,HA-HAR,M,3859,partial,Kenya,Homo sapiens,2007-01-01
PP746456,Rift Valley fever virus,Phlebovirus riftense,MO-LE,M,3877,partial,Kenya,Homo sapiens,2007-01-01
PP746457,Rift Valley fever virus,Phlebovirus riftense,MSA,M,3875,partial,Kenya,Homo sapiens,2007-01-01
PP746458,Rift Valley fever virus,Phlebovirus riftense,N12,M,3869,partial,Kenya,Homo sapiens,2019-02-01
PP746459,Rift Valley fever virus,Phlebovirus riftense,NA-KOL,M,3885,partial,Kenya,Homo sapiens,2007-01-03
PP746460,Rift Valley fever virus,Phlebovirus riftense,SWA-ISI,M,3873,partial,Kenya,Homo sapiens,2020-11-01
PP746461,Rift Valley fever virus,Phlebovirus riftense,A-MO,S,1684,partial,Kenya,Homo sapiens,2020-11-01
PP746462,Rift Valley fever virus,Phlebovirus riftense,E358,S,1689,partial,Kenya,Homo sapiens,1998-02-10
PP746463,Rift Valley fever virus,Phlebovirus riftense,HA-HAR,S,1661,partial,Kenya,Homo sapiens,2007-01-01
PP746464,Rift Valley fever virus,Phlebovirus riftense,MO-LE,S,1689,partial,Kenya,Homo sapiens,2007-01-01
PP746465,Rift Valley fever virus,Phlebovirus riftense,MSA,S,1689,partial,Kenya,Homo sapiens,2007-01-01
PP746466,Rift Valley fever virus,Phlebovirus riftense,N12,S,1677,partial,Kenya,Homo sapiens,2019-02-01
PP746467,Rift Valley fever virus,Phlebovirus riftense,NA-KOL,S,1689,partial,Kenya,Homo sapiens,2007-01-03
PP746468,Rift Valley fever virus,Phlebovirus riftense,SWA-ISI,S,1689,partial,Kenya,Homo sapiens,2020-11-01
PP746469,Rift Valley fever virus,Phlebovirus riftense,JU-KB,L,6381,partial,Kenya,Homo sapiens,2007-01-11
PP746470,Rift Valley fever virus,Phlebovirus riftense,JU-KB,M,3862,partial,Kenya,Homo sapiens,2007-01-11
PP746471,Rift Valley fever virus,Phlebovirus riftense,JU-KB,S,1665,partial,Kenya,Homo sapiens,2007-01-11
OR528950,Rift Valley fever virus,Phlebovirus riftense,2019/7,S,1680,partial,Gabon,Philantomba monticola,2019-04-20
OR528951,Rift Valley fever virus,Phlebovirus riftense,2019/Sample-108,S,1690,complete,Gabon,Philantomba monticola,2019-07-01
OR528952,Rift Valley fever virus,Phlebovirus riftense,2019/Sample-120,S,1681,partial,Gabon,Philantomba monticola,2019-07-02
OR528953,Rift Valley fever virus,Phlebovirus riftense,2019/Sample-166,S,1690,complete,Gabon,Cephalophorus callipygus,2019-07-06
OR972326,Rift Valley fever virus,Phlebovirus riftense,AFI-MGT-989,L,6397,complete,Kenya,Homo sapiens,2018-07-16
OR972327,Rift Valley fever virus,Phlebovirus riftense,AFI-MGT-989,M,3875,complete,Kenya,Homo sapiens,2018-07-16
OR972328,Rift Valley fever virus,Phlebovirus riftense,AFI-MGT-989,S,1684,complete,Kenya,Homo sapiens,2018-07-16
OR780613,Rift Valley fever virus,Phlebovirus riftense,BDI0002,,1658,partial,Burundi,Homo sapiens,2022-05-17
OR780614,Rift Valley fever virus,Phlebovirus riftense,BDI0003,,1636,partial,Burundi,Homo sapiens,2022-05-17
OR780615,Rift Valley fever virus,Phlebovirus riftense,BDI0006,,1636,partial,Burundi,Homo sapiens,2022-05-19
OR780616,Rift Valley fever virus,Phlebovirus riftense,BDI0007,,1636,partial,Burundi,Homo sapiens,2022-05-19
OR780617,Rift Valley fever virus,Phlebovirus riftense,BDI0008,,1636,partial,Burundi,Homo sapiens,2022-05-19
OR780618,Rift Valley fever virus,Phlebovirus riftense,BDI0002,M,3513,partial,Burundi,Bos taurus,2022-05-17
OR780619,Rift Valley fever virus,Phlebovirus riftense,BDI0003,M,3571,partial,Burundi,Bos taurus,2022-05-17
OR780620,Rift Valley fever virus,Phlebovirus riftense,BDI0005,M,3559,partial,Burundi,Bos taurus,2022-05-19
OR780621,Rift Valley fever virus,Phlebovirus riftense,BDI0006,M,3571,partial,Burundi,Bos taurus,2022-05-19
OR780622,Rift Valley fever virus,Phlebovirus riftense,BDI0007,M,3567,partial,Burundi,Bos taurus,2022-05-19
OR780623,Rift Valley fever virus,Phlebovirus riftense,BDI0008,M,3568,partial,Burundi,Bos taurus,2022-05-19
OR780624,Rift Valley fever virus,Phlebovirus riftense,BDI0009,M,3558,partial,Burundi,Bos taurus,2022-05-18
OR780625,Rift Valley fever virus,Phlebovirus riftense,BDI0002,L,5924,partial,Burundi,Bos taurus,2022-05-17
OR780626,Rift Valley fever virus,Phlebovirus riftense,BDI0003,L,6232,partial,Burundi,Bos taurus,2022-05-17
OR780627,Rift Valley fever virus,Phlebovirus riftense,BDI0006,L,5924,partial,Burundi,Bos taurus,2022-05-19
OR780628,Rift Valley fever virus,Phlebovirus riftense,BDI0007,L,5924,partial,Burundi,Bos taurus,2022-05-19
OR780629,Rift Valley fever virus,Phlebovirus riftense,BDI0008,L,5924,partial,Burundi,Bos taurus,2022-05-19
OQ440142,Rift Valley fever virus,Phlebovirus riftense,Lunyo,,6404,partial,Uganda,Homo sapiens,1955-07-09
OQ440143,Rift Valley fever virus,Phlebovirus riftense,Lunyo,,3885,partial,Uganda,Homo sapiens,1955-07-09
OQ440144,Rift Valley fever virus,Phlebovirus riftense,Lunyo,,798,partial,Uganda,Homo sapiens,1955-07-09
OQ440145,Rift Valley fever virus,Phlebovirus riftense,Lunyo,,738,partial,Uganda,Homo sapiens,1955-07-09
OQ440150,Rift Valley fever virus,Phlebovirus riftense,Kenya 56 (IB8),L,6404,partial,Kenya,Bos taurus,
OQ440151,Rift Valley fever virus,Phlebovirus riftense,Kenya 56 (IB8),M,3885,partial,Kenya,Bos taurus,
OQ440152,Rift Valley fever virus,Phlebovirus riftense,Kenya 56 (IB8),,798,partial,Kenya,Bos taurus,
OQ440153,Rift Valley fever virus,Phlebovirus riftense,Kenya 56 (IB8),,738,partial,Kenya,Bos taurus,
OQ440154,Rift Valley fever virus,Phlebovirus riftense,ZH-548,L,6404,partial,Egypt,,1977
OQ440155,Rift Valley fever virus,Phlebovirus riftense,ZH-548,M,3885,partial,Egypt,Homo sapiens,1977
OQ440156,Rift Valley fever virus,Phlebovirus riftense,ZH-548,,798,partial,Egypt,Homo sapiens,1977
OQ440157,Rift Valley fever virus,Phlebovirus riftense,ZH-548,,738,partial,Egypt,Homo sapiens,1977
OP146104,Rift Valley fever virus,Phlebovirus riftense,RSA/OBP/RVFVClone13/LAV,L,6404,partial,Central African Republic,,1974
OP146105,Rift Valley fever virus,Phlebovirus riftense,RSA/OBP/RVFVClone13/LAV,M,3885,partial,Central African Republic,,1974
OP146106,Rift Valley fever virus,Phlebovirus riftense,RSA/OBP/RVFVClone13/LAV,S,1141,partial,Central African Republic,,1974
OP146107,Rift Valley fever virus,Phlebovirus riftense,RSA/OBP/RVFVSmithburn/LAV,L,6375,partial,Uganda,,1944
OP146108,Rift Valley fever virus,Phlebovirus riftense,RSA/OBP/RVFVSmithburn/LAV,M,3885,partial,Uganda,,1944
OP146109,Rift Valley fever virus,Phlebovirus riftense,RSA/OBP/RVFVSmithburn/LAV,S,1691,partial,Uganda,,1944
OP146110,Rift Valley fever virus,Phlebovirus riftense,RSA/OBP/RVFV/Inactivated,L,6404,complete,South Africa,,1974
OP146111,Rift Valley fever virus,Phlebovirus riftense,RSA/OBP/RVFV/Inactivated,M,3885,complete,South Africa,,1974
OP146112,Rift Valley fever virus,Phlebovirus riftense,RSA/OBP/RVFV/Inactivated,S,1691,complete,South Africa,,1974
ON060771,Rift Valley fever virus,Phlebovirus riftense,2019000312_S|Uganda|2019,S,1586,partial,Uganda,Homo sapiens,2019
ON060772,Rift Valley fever virus,Phlebovirus riftense,2019000825_L|Uganda|2019,L,6392,partial,Uganda,Homo sapiens,2019
ON060773,Rift Valley fever virus,Phlebovirus riftense,2019000825_M|Uganda|2019,M,3876,partial,Uganda,Homo sapiens,2019
ON060774,Rift Valley fever virus,Phlebovirus riftense,2019000825_S|Uganda|2019,S,1683,partial,Uganda,Homo sapiens,2019
ON060775,Rift Valley fever virus,Phlebovirus riftense,201900877_L|Uganda|2018,L,6391,partial,Uganda,Homo sapiens,2018
ON060776,Rift Valley fever virus,Phlebovirus riftense,201900877_M|Uganda|2018,M,3872,partial,Uganda,Homo sapiens,2018
ON060777,Rift Valley fever virus,Phlebovirus riftense,201900877_S|Uganda|2018,S,1678,partial,Uganda,Homo sapiens,2018
ON060778,Rift Valley fever virus,Phlebovirus riftense,201900879_L|Uganda|2018,L,6388,partial,Uganda,Homo sapiens,2018
ON060779,Rift Valley fever virus,Phlebovirus riftense,201900879_M|Uganda|2018,M,3867,partial,Uganda,Homo sapiens,2018
ON060780,Rift Valley fever virus,Phlebovirus riftense,201900879_S|Uganda|2018,S,1680,partial,Uganda,Homo sapiens,2018
ON060781,Rift Valley fever virus,Phlebovirus riftense,201900880_L|Uganda|2018,L,6385,partial,Uganda,Homo sapiens,2018
ON060782,Rift Valley fever virus,Phlebovirus riftense,201900880_M|Uganda|2018,M,3863,partial,Uganda,Homo sapiens,2018
ON060783,Rift Valley fever virus,Phlebovirus riftense,201900880_S|Uganda|2018,S,1670,partial,Uganda,Homo sapiens,2018
ON060784,Rift Valley fever virus,Phlebovirus riftense,201901671_L|Uganda,L,6388,partial,Uganda,Homo sapiens,2017
ON060785,Rift Valley fever virus,Phlebovirus riftense,201901671_M|Uganda,M,3873,partial,Uganda,Homo sapiens,
ON060786,Rift Valley fever virus,Phlebovirus riftense,201901671_S|Uganda,S,1681,partial,Uganda,Homo sapiens,
ON060787,Rift Valley fever virus,Phlebovirus riftense,201902734_L|Uganda|2018,L,6320,partial,Uganda,Homo sapiens,2018
ON060788,Rift Valley fever virus,Phlebovirus riftense,201902733_M|Uganda|2018,M,3848,partial,Uganda,Homo sapiens,2018
ON060789,Rift Valley fever virus,Phlebovirus riftense,201902733_S|Uganda|2018,S,1617,partial,Uganda,Homo sapiens,2018
ON060790,Rift Valley fever virus,Phlebovirus riftense,2019000825_L|Uganda|2018,L,6392,partial,Uganda,Homo sapiens,2018
ON060791,Rift Valley fever virus,Phlebovirus riftense,201902734_M|Uganda|2018,M,3869,partial,Uganda,Homo sapiens,2018
ON060792,Rift Valley fever virus,Phlebovirus riftense,201902734_S|Uganda|2018,S,1667,partial,Uganda,Homo sapiens,2018
ON060793,Rift Valley fever virus,Phlebovirus riftense,201902736_L|Uganda|2018,L,6350,partial,Uganda,Homo sapiens,2018
ON060794,Rift Valley fever virus,Phlebovirus riftense,201902736_M|Uganda|2018,M,3833,partial,Uganda,Homo sapiens,2018
ON060795,Rift Valley fever virus,Phlebovirus riftense,201902736_S|Uganda|2018,S,1627,partial,Uganda,Homo sapiens,2018
ON060796,Rift Valley fever virus,Phlebovirus riftense,201902737_L|Uganda|2018,L,6389,partial,Uganda,Homo sapiens,2018
ON060797,Rift Valley fever virus,Phlebovirus riftense,201902737_M|Uganda|2018,M,3828,partial,Uganda,Homo sapiens,2018
ON060798,Rift Valley fever virus,Phlebovirus riftense,201902737_S|Uganda|2018,S,1670,partial,Uganda,Homo sapiens,2018
ON060799,Rift Valley fever virus,Phlebovirus riftense,201902745_L|Uganda|2018,L,6389,partial,Uganda,Homo sapiens,2018
ON060800,Rift Valley fever virus,Phlebovirus riftense,201902745_M|Uganda|2018,M,3883,partial,Uganda,Homo sapiens,2018
ON060801,Rift Valley fever virus,Phlebovirus riftense,201902745_S|Uganda|2018,S,1674,partial,Uganda,Homo sapiens,2018
ON060802,Rift Valley fever virus,Phlebovirus riftense,201902747_L|Uganda|2018,L,6385,partial,Uganda,Homo sapiens,2018
ON060803,Rift Valley fever virus,Phlebovirus riftense,201902747_M|Uganda|2018,M,3849,partial,Uganda,Homo sapiens,2018
ON060804,Rift Valley fever virus,Phlebovirus riftense,201902747_S|Uganda|2018,S,1670,partial,Uganda,Homo sapiens,2018
ON060805,Rift Valley fever virus,Phlebovirus riftense,201902750_L|Uganda|2018,L,6388,partial,Uganda,Homo sapiens,2018
ON060806,Rift Valley fever virus,Phlebovirus riftense,201902750_M|Uganda|2018,M,3867,partial,Uganda,Homo sapiens,2018
ON060807,Rift Valley fever virus,Phlebovirus riftense,201902750_S|Uganda|2018,S,1679,partial,Uganda,Homo sapiens,2018
ON060808,Rift Valley fever virus,Phlebovirus riftense,201902753_L|Uganda|2018,L,6387,partial,Uganda,Homo sapiens,2018
ON060809,Rift Valley fever virus,Phlebovirus riftense,201902753_M|Uganda|2018,M,3867,partial,Uganda,Homo sapiens,2018
ON060810,Rift Valley fever virus,Phlebovirus riftense,201902753_S|Uganda|2018,S,1680,partial,Uganda,Homo sapiens,2018
ON060811,Rift Valley fever virus,Phlebovirus riftense,201902754_L|Uganda|2018,L,6380,partial,Uganda,Homo sapiens,2018
ON060812,Rift Valley fever virus,Phlebovirus riftense,201902754_S|Uganda|2018,S,1660,partial,Uganda,Homo sapiens,2018
ON060813,Rift Valley fever virus,Phlebovirus riftense,201902760_L|Uganda|2018,L,6388,partial,Uganda,Homo sapiens,2018
ON060814,Rift Valley fever virus,Phlebovirus riftense,201902760_M|Uganda|2018,M,3867,partial,Uganda,Homo sapiens,2018
ON060815,Rift Valley fever virus,Phlebovirus riftense,201902760_S|Uganda|2018,S,1681,partial,Uganda,Homo sapiens,2018
ON060816,Rift Valley fever virus,Phlebovirus riftense,201902763_L|Uganda|2018,L,6388,partial,Uganda,Homo sapiens,2018
ON060817,Rift Valley fever virus,Phlebovirus riftense,201902763_M|Uganda|2018,M,3867,partial,Uganda,Homo sapiens,2018
ON060818,Rift Valley fever virus,Phlebovirus riftense,201902763_S|Uganda|2018,S,1679,partial,Uganda,Homo sapiens,2018
ON060819,Rift Valley fever virus,Phlebovirus riftense,201902764_L|Uganda|2018,L,6388,partial,Uganda,Homo sapiens,2018
ON060820,Rift Valley fever virus,Phlebovirus riftense,201902764_M|Uganda|2018,M,3885,partial,Uganda,Homo sapiens,2018
ON060821,Rift Valley fever virus,Phlebovirus riftense,201902764_S|Uganda|2018,S,1679,partial,Uganda,Homo sapiens,2018
ON060822,Rift Valley fever virus,Phlebovirus riftense,2020000148_L|Uganda,L,6222,partial,Uganda,Homo sapiens,2018
ON060823,Rift Valley fever virus,Phlebovirus riftense,2020000148_M|Uganda,M,3564,partial,Uganda,Homo sapiens,
ON060824,Rift Valley fever virus,Phlebovirus riftense,2020000148_S|Uganda,S,1647,partial,Uganda,Homo sapiens,
ON060825,Rift Valley fever virus,Phlebovirus riftense,2020000159_L|Uganda,L,6265,partial,Uganda,Homo sapiens,2018
ON060826,Rift Valley fever virus,Phlebovirus riftense,2020000159_M|Uganda,M,3592,partial,Uganda,Homo sapiens,
ON060827,Rift Valley fever virus,Phlebovirus riftense,2020000159_S|Uganda,S,1618,partial,Uganda,Homo sapiens,
ON060828,Rift Valley fever virus,Phlebovirus riftense,2020001195_L|Uganda,L,6380,partial,Uganda,Homo sapiens,2018
ON060829,Rift Valley fever virus,Phlebovirus riftense,2020001195_M|Uganda,M,3861,partial,Uganda,Homo sapiens,
ON060830,Rift Valley fever virus,Phlebovirus riftense,2020001195_S|Uganda,S,1671,partial,Uganda,Homo sapiens,
ON060831,Rift Valley fever virus,Phlebovirus riftense,2020002574_L|Uganda,L,6392,partial,Uganda,Homo sapiens,2018
ON060832,Rift Valley fever virus,Phlebovirus riftense,2020002574_M|Uganda,M,3871,partial,Uganda,Homo sapiens,
ON060833,Rift Valley fever virus,Phlebovirus riftense,2020002574_S|Uganda,S,1674,partial,Uganda,Homo sapiens,
ON060834,Rift Valley fever virus,Phlebovirus riftense,2021000843_L|Uganda,L,6167,partial,Uganda,Homo sapiens,2018
ON060835,Rift Valley fever virus,Phlebovirus riftense,2021000843_S|Uganda,S,1589,partial,Uganda,Homo sapiens,
ON060836,Rift Valley fever virus,Phlebovirus riftense,2021001358_L|Uganda,L,6376,partial,Uganda,Homo sapiens,2017
ON060837,Rift Valley fever virus,Phlebovirus riftense,2021001358_M|Uganda,M,3839,partial,Uganda,Homo sapiens,
ON060838,Rift Valley fever virus,Phlebovirus riftense,2021001358_S|Uganda,S,1667,partial,Uganda,Homo sapiens,
OM519308,Rift Valley fever virus,Phlebovirus riftense,NGR_2021_01,,624,partial,Nigeria,Bos taurus,2021-03-26
OM519309,Rift Valley fever virus,Phlebovirus riftense,NGR_2021_02,,624,partial,Nigeria,Bos taurus,2021-03-26
OM519310,Rift Valley fever virus,Phlebovirus riftense,NGR_2021_03,,624,partial,Nigeria,Bos taurus,2021-03-26
OM519311,Rift Valley fever virus,Phlebovirus riftense,NGR_2021_04,,624,partial,Nigeria,Bos taurus,2021-03-26
